#    L    TT             EE             TE             PP             TP          
   248    0.54931E+04    0.21757E+01    0.59792E+02    0.22639E+07    0.16562E+04
   249    0.54764E+04    0.22527E+01    0.61437E+02    0.22543E+07    0.16424E+04
   250    0.54592E+04    0.23321E+01    0.63073E+02    0.22447E+07    0.16288E+04
   251    0.54415E+04    0.24135E+01    0.64700E+02    0.22352E+07    0.16152E+04
   252    0.54231E+04    0.24973E+01    0.66317E+02    0.22257E+07    0.16018E+04
   253    0.54044E+04    0.25832E+01    0.67922E+02    0.22163E+07    0.15884E+04
   254    0.53851E+04    0.26715E+01    0.69516E+02    0.22070E+07    0.15752E+04
   255    0.53653E+04    0.27619E+01    0.71097E+02    0.21977E+07    0.15620E+04
   256    0.53450E+04    0.28548E+01    0.72668E+02    0.21885E+07    0.15490E+04
   257    0.53243E+04    0.29497E+01    0.74218E+02    0.21794E+07    0.15360E+04
   258    0.53030E+04    0.30471E+01    0.75761E+02    0.21703E+07    0.15232E+04
   259    0.52813E+04    0.31466E+01    0.77282E+02    0.21613E+07    0.15104E+04
   260    0.52592E+04    0.32485E+01    0.78795E+02    0.21523E+07    0.14978E+04
   261    0.52365E+04    0.33525E+01    0.80279E+02    0.21434E+07    0.14852E+04
   262    0.52133E+04    0.34589E+01    0.81755E+02    0.21346E+07    0.14728E+04
   263    0.51900E+04    0.35675E+01    0.83217E+02    0.21258E+07    0.14604E+04
   264    0.51660E+04    0.36784E+01    0.84657E+02    0.21171E+07    0.14481E+04
   265    0.51415E+04    0.37915E+01    0.86067E+02    0.21084E+07    0.14359E+04
   266    0.51168E+04    0.39069E+01    0.87469E+02    0.20998E+07    0.14238E+04
   267    0.50914E+04    0.40244E+01    0.88842E+02    0.20913E+07    0.14118E+04
   268    0.50657E+04    0.41443E+01    0.90200E+02    0.20828E+07    0.13999E+04
   269    0.50395E+04    0.42664E+01    0.91535E+02    0.20743E+07    0.13880E+04
   270    0.50130E+04    0.43906E+01    0.92849E+02    0.20659E+07    0.13763E+04
   271    0.49861E+04    0.45169E+01    0.94140E+02    0.20576E+07    0.13646E+04
   272    0.49589E+04    0.46457E+01    0.95401E+02    0.20493E+07    0.13531E+04
   273    0.49313E+04    0.47762E+01    0.96647E+02    0.20411E+07    0.13416E+04
   274    0.49034E+04    0.49092E+01    0.97856E+02    0.20330E+07    0.13301E+04
   275    0.48751E+04    0.50440E+01    0.99050E+02    0.20248E+07    0.13188E+04
   276    0.48465E+04    0.51810E+01    0.10021E+03    0.20168E+07    0.13076E+04
   277    0.48175E+04    0.53201E+01    0.10135E+03    0.20088E+07    0.12964E+04
   278    0.47883E+04    0.54613E+01    0.10245E+03    0.20008E+07    0.12853E+04
   279    0.47588E+04    0.56044E+01    0.10353E+03    0.19929E+07    0.12743E+04
   280    0.47289E+04    0.57495E+01    0.10459E+03    0.19850E+07    0.12634E+04
   281    0.46989E+04    0.58966E+01    0.10561E+03    0.19772E+07    0.12525E+04
   282    0.46684E+04    0.60455E+01    0.10660E+03    0.19695E+07    0.12418E+04
   283    0.46378E+04    0.61963E+01    0.10757E+03    0.19617E+07    0.12311E+04
   284    0.46070E+04    0.63491E+01    0.10850E+03    0.19541E+07    0.12204E+04
   285    0.45759E+04    0.65037E+01    0.10940E+03    0.19465E+07    0.12099E+04
   286    0.45445E+04    0.66601E+01    0.11027E+03    0.19389E+07    0.11994E+04
   287    0.45128E+04    0.68183E+01    0.11111E+03    0.19314E+07    0.11890E+04
   288    0.44810E+04    0.69782E+01    0.11191E+03    0.19239E+07    0.11786E+04
   289    0.44490E+04    0.71398E+01    0.11269E+03    0.19165E+07    0.11684E+04
   290    0.44169E+04    0.73029E+01    0.11344E+03    0.19091E+07    0.11582E+04
   291    0.43845E+04    0.74683E+01    0.11414E+03    0.19017E+07    0.11480E+04
   292    0.43517E+04    0.76348E+01    0.11481E+03    0.18944E+07    0.11380E+04
   293    0.43191E+04    0.78021E+01    0.11545E+03    0.18872E+07    0.11280E+04
   294    0.42861E+04    0.79718E+01    0.11606E+03    0.18800E+07    0.11180E+04
   295    0.42532E+04    0.81422E+01    0.11662E+03    0.18728E+07    0.11082E+04
   296    0.42200E+04    0.83148E+01    0.11716E+03    0.18657E+07    0.10984E+04
   297    0.41867E+04    0.84875E+01    0.11766E+03    0.18586E+07    0.10886E+04
   298    0.41532E+04    0.86626E+01    0.11812E+03    0.18516E+07    0.10789E+04
   299    0.41197E+04    0.88391E+01    0.11855E+03    0.18446E+07    0.10693E+04
   300    0.40860E+04    0.90157E+01    0.11893E+03    0.18376E+07    0.10597E+04
   301    0.40523E+04    0.91938E+01    0.11928E+03    0.18307E+07    0.10502E+04
   302    0.40185E+04    0.93727E+01    0.11961E+03    0.18238E+07    0.10408E+04
   303    0.39846E+04    0.95532E+01    0.11989E+03    0.18170E+07    0.10314E+04
   304    0.39507E+04    0.97351E+01    0.12012E+03    0.18102E+07    0.10221E+04
   305    0.39167E+04    0.99172E+01    0.12033E+03    0.18034E+07    0.10128E+04
   306    0.38827E+04    0.10100E+02    0.12049E+03    0.17967E+07    0.10036E+04
   307    0.38487E+04    0.10284E+02    0.12062E+03    0.17900E+07    0.99444E+03
   308    0.38146E+04    0.10469E+02    0.12071E+03    0.17834E+07    0.98535E+03
   309    0.37807E+04    0.10655E+02    0.12076E+03    0.17768E+07    0.97632E+03
   310    0.37466E+04    0.10840E+02    0.12078E+03    0.17702E+07    0.96735E+03
   311    0.37126E+04    0.11027E+02    0.12075E+03    0.17637E+07    0.95845E+03
   312    0.36787E+04    0.11214E+02    0.12069E+03    0.17572E+07    0.94960E+03
   313    0.36448E+04    0.11402E+02    0.12058E+03    0.17507E+07    0.94081E+03
   314    0.36109E+04    0.11590E+02    0.12045E+03    0.17443E+07    0.93208E+03
   315    0.35771E+04    0.11778E+02    0.12027E+03    0.17379E+07    0.92342E+03
   316    0.35434E+04    0.11966E+02    0.12005E+03    0.17315E+07    0.91482E+03
   317    0.35098E+04    0.12154E+02    0.11979E+03    0.17252E+07    0.90627E+03
   318    0.34762E+04    0.12343E+02    0.11950E+03    0.17189E+07    0.89779E+03
   319    0.34428E+04    0.12532E+02    0.11917E+03    0.17127E+07    0.88937E+03
   320    0.34095E+04    0.12720E+02    0.11881E+03    0.17065E+07    0.88102E+03
